date,kickoff_local,league,home,away,section,market,family,meaning,fair_odds,min_acceptable_odds,status,pinnacle_snapshot
2026-09-25,2026-09-25T18:30:00+00:00,esp_segunda,Girona,Albacete,Ukupno Golova,3-6,GOAL_RANGE_FT,Full-time: 3 to 6 goals,1.9518,2.0201,SHARP,2026-09-24T20:57:47.214Z
2026-09-25,2026-09-25T18:30:00+00:00,esp_segunda,Girona,Albacete,II Pol. Uk. Golova,II0-1,GOAL_RANGE_2H,2nd half: 0 to 1 goals,1.8861,1.9521,PASS,2026-09-24T20:57:47.214Z
2026-09-25,2026-09-25T18:30:00+00:00,esp_segunda,Girona,Albacete,I Pol. Uk. Golova,I1-2,GOAL_RANGE_1H,1st half: 1 to 2 goals,1.7185,1.7787,PASS,2026-09-24T20:57:47.214Z
2026-09-25,2026-09-25T18:30:00+00:00,esp_segunda,Girona,Albacete,Konačni Ishod,1,RESULT,Home wins the match,1.5925,1.6483,SHARP,2026-09-24T20:57:47.214Z
2026-09-25,2026-09-25T18:30:00+00:00,esp_segunda,Girona,Albacete,Dupla Šansa,X2,DOUBLE_CHANCE,Away or draw,2.6877,2.7818,SHARP,2026-09-24T20:57:47.214Z
2026-09-25,2026-09-25T18:30:00+00:00,esp_segunda,Girona,Albacete,X No Bet,XNB FT 1,NO_BET,"home wins, draw voids (FT)",1.2616,1.3057,SHARP,2026-09-24T20:57:47.214Z
2026-09-25,2026-09-25T18:30:00+00:00,esp_segunda,Girona,Albacete,II Poluvreme,II1,HALF_RESULT,Home wins the second half,1.9640,2.0327,PASS,2026-09-24T20:57:47.214Z
2026-09-25,2026-09-25T18:30:00+00:00,esp_segunda,Girona,Albacete,Pada Više Golova,I>II,MORE_GOALS_HALF,more goals in the 1st half than in the 2nd,3.3357,3.4525,PASS,2026-09-24T20:57:47.214Z
2026-09-25,2026-09-25T18:30:00+00:00,esp_segunda,Girona,Albacete,II Pol. Dupla Šansa,IIX2,HALF_DC,Away or draw in the second half,2.0373,2.1087,PASS,2026-09-24T20:57:47.214Z
2026-09-25,2026-09-25T18:30:00+00:00,esp_segunda,Girona,Albacete,Poluvreme/Kraj,NE 1-1,HTFT_NE,not (Home leads at half time and home wins at full time),1.6769,1.7356,PASS,2026-09-24T20:57:47.214Z
2026-09-25,2026-09-25T18:30:00+00:00,esp_segunda,Girona,Albacete,Poluvreme/Kraj,1-1,HTFT,Home leads at half time and home wins at full time,2.4772,2.5640,PASS,2026-09-24T20:57:47.214Z
2026-09-25,2026-09-25T18:30:00+00:00,esp_segunda,Girona,Albacete,Ukupno Golova,NE 3-6,GOAL_RANGE_FT,Full-time: not 3 to 6 goals,2.0506,2.1224,SHARP,2026-09-24T20:57:47.214Z
2026-09-25,2026-09-25T18:30:00+00:00,esp_segunda,Girona,Albacete,II Pol. Uk. Golova,II2+,GOAL_RANGE_2H,2nd half: at least 2 goals,2.1286,2.2031,PASS,2026-09-24T20:57:47.214Z
2026-09-25,2026-09-25T18:30:00+00:00,esp_segunda,Girona,Albacete,I Pol. Uk. Golova,NE 1,GOAL_RANGE_1H,1st half: not exactly 1 goal,1.5582,1.6127,PASS,2026-09-24T20:57:47.214Z
2026-09-25,2026-09-25T18:30:00+00:00,esp_segunda,Girona,Albacete,Konačni Ishod,X,RESULT,Draw,4.8122,4.9806,SHARP,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T22:30:00+00:00,bra_serie_b,Gremio Novorizontino,Sao Bernardo,Ukupno Golova,3-6,GOAL_RANGE_FT,Full-time: 3 to 6 goals,1.9720,2.0410,SHARP,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T22:30:00+00:00,bra_serie_b,Gremio Novorizontino,Sao Bernardo,II Pol. Uk. Golova,II0-1,GOAL_RANGE_2H,2nd half: 0 to 1 goals,1.8674,1.9327,PASS,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T22:30:00+00:00,bra_serie_b,Gremio Novorizontino,Sao Bernardo,I Pol. Uk. Golova,I1-2,GOAL_RANGE_1H,1st half: 1 to 2 goals,1.7206,1.7809,PASS,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T22:30:00+00:00,bra_serie_b,Gremio Novorizontino,Sao Bernardo,Konačni Ishod,1,RESULT,Home wins the match,1.5667,1.6216,SHARP,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T22:30:00+00:00,bra_serie_b,Gremio Novorizontino,Sao Bernardo,Dupla Šansa,12,DOUBLE_CHANCE,Home or away,1.2817,1.3265,SHARP,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T22:30:00+00:00,bra_serie_b,Gremio Novorizontino,Sao Bernardo,X No Bet,XNB FT 1,NO_BET,"home wins, draw voids (FT)",1.2224,1.2652,SHARP,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T22:30:00+00:00,bra_serie_b,Gremio Novorizontino,Sao Bernardo,II Poluvreme,II1,HALF_RESULT,Home wins the second half,1.9275,1.9950,PASS,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T22:30:00+00:00,bra_serie_b,Gremio Novorizontino,Sao Bernardo,Pada Više Golova,I>II,MORE_GOALS_HALF,more goals in the 1st half than in the 2nd,3.3334,3.4501,PASS,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T22:30:00+00:00,bra_serie_b,Gremio Novorizontino,Sao Bernardo,II Pol. Dupla Šansa,IIX2,HALF_DC,Away or draw in the second half,2.0782,2.1509,PASS,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T22:30:00+00:00,bra_serie_b,Gremio Novorizontino,Sao Bernardo,Poluvreme/Kraj,NE 1-1,HTFT_NE,not (Home leads at half time and home wins at full time),1.7081,1.7678,PASS,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T22:30:00+00:00,bra_serie_b,Gremio Novorizontino,Sao Bernardo,Poluvreme/Kraj,1-1,HTFT,Home leads at half time and home wins at full time,2.4123,2.4967,PASS,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T22:30:00+00:00,bra_serie_b,Gremio Novorizontino,Sao Bernardo,Ukupno Golova,NE 3-6,GOAL_RANGE_FT,Full-time: not 3 to 6 goals,2.0288,2.0999,SHARP,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T22:30:00+00:00,bra_serie_b,Gremio Novorizontino,Sao Bernardo,II Pol. Uk. Golova,II2+,GOAL_RANGE_2H,2nd half: at least 2 goals,2.1529,2.2282,PASS,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T22:30:00+00:00,bra_serie_b,Gremio Novorizontino,Sao Bernardo,I Pol. Uk. Golova,NE 1,GOAL_RANGE_1H,1st half: not exactly 1 goal,1.5600,1.6146,PASS,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T22:30:00+00:00,bra_serie_b,Gremio Novorizontino,Sao Bernardo,Konačni Ishod,X,RESULT,Draw,4.5502,4.7095,SHARP,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T23:30:00+00:00,bra_serie_b,Vila Nova,Londrina,Ukupno Golova,NE 1-2,GOAL_RANGE_FT,Full-time: not 1 to 2 goals,1.8858,1.9518,SHARP,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T23:30:00+00:00,bra_serie_b,Vila Nova,Londrina,II Pol. Uk. Golova,II1-2,GOAL_RANGE_2H,2nd half: 1 to 2 goals,1.7047,1.7644,PASS,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T23:30:00+00:00,bra_serie_b,Vila Nova,Londrina,I Pol. Uk. Golova,I1-2,GOAL_RANGE_1H,1st half: 1 to 2 goals,1.7769,1.8391,PASS,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T23:30:00+00:00,bra_serie_b,Vila Nova,Londrina,Konačni Ishod,1,RESULT,Home wins the match,1.6461,1.7038,SHARP,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T23:30:00+00:00,bra_serie_b,Vila Nova,Londrina,Dupla Šansa,X2,DOUBLE_CHANCE,Away or draw,2.5476,2.6368,SHARP,2026-09-24T20:57:47.214Z
2026-09-26,2026-09-25T23:30:00+00:00,bra_serie_b,Vila Nova,Londrina,X No Bet,XNB FT 1,NO_BET,"home wins, draw voids (FT)",1.2384,1.2818,SHARP,2026-09-24T20:57:47.214Z
