date,kickoff_local,league,home,away,market,family,fair_odds,min_acceptable_odds,status,pinnacle_snapshot
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,1,RESULT,1.6309,1.6880,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,2,RESULT,5.7820,5.9844,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,X,RESULT,4.6750,4.8386,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,12,DOUBLE_CHANCE,1.2721,1.3166,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,1X,DOUBLE_CHANCE,1.2091,1.2514,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,X2,DOUBLE_CHANCE,2.5850,2.6754,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,I1,HALF_RESULT,2.2191,2.2967,PASS,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,I2,HALF_RESULT,6.3115,6.5324,PASS,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,II1,HALF_RESULT,2.0381,2.1095,PASS,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,II2,HALF_RESULT,6.0861,6.2991,PASS,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,IIX,HALF_RESULT,2.8981,2.9996,PASS,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,IX,HALF_RESULT,2.5581,2.6476,PASS,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,I12,HALF_DC,1.6418,1.6993,PASS,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,I1X,HALF_DC,1.1883,1.2299,PASS,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,II12,HALF_DC,1.5268,1.5803,PASS,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,II1X,HALF_DC,1.1966,1.2385,PASS,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,IIX2,HALF_DC,1.9633,2.0320,PASS,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,IX2,HALF_DC,1.8203,1.8840,PASS,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,0-1,GOAL_RANGE_FT,4.1481,4.2933,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,0-2,GOAL_RANGE_FT,2.0730,2.1456,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,0-3,GOAL_RANGE_FT,1.4212,1.4709,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,0-4,GOAL_RANGE_FT,1.1686,1.2095,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,1+,GOAL_RANGE_FT,1.0699,1.1073,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,1-2,GOAL_RANGE_FT,2.3977,2.4816,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,1-3,GOAL_RANGE_FT,1.5666,1.6214,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,1-4,GOAL_RANGE_FT,1.2651,1.3094,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,1-5,GOAL_RANGE_FT,1.1441,1.1841,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,1-6,GOAL_RANGE_FT,1.0961,1.1344,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,2+,GOAL_RANGE_FT,1.3177,1.3638,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,2-3,GOAL_RANGE_FT,2.1618,2.2375,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,2-4,GOAL_RANGE_FT,1.6269,1.6838,FAIL,2026-09-24T16:28:44Z
2026-09-26,2026-09-26T14:00:00Z,league_one_t3,Plymouth Argyle,Burton Albion,2-5,GOAL_RANGE_FT,1.4320,1.4822,FAIL,2026-09-24T16:28:44Z
