family,n,slope,intercept,ll_model,ll_B0,ll_B1,gain_vs_B0,ci_low,ci_high,p_one_sided,passes_slope,beats_b0,raw_pass,holm_pass,final_pass
MORE_GOALS_HALF,22392,0.8632864529896747,-0.09192408407142938,0.6223369620291032,0.631006619408833,0.6224231560548449,0.0086696573797298,-0.011248071776056075,-0.0061588095007309536,0.0,True,True,True,True,True
GOAL_RANGE_2H,119424,1.0301871353971066,0.01439403560653202,0.5616281909736884,0.5659198901551247,0.5619100635790814,0.004291699181436237,-0.005627347097535266,-0.0031135585077953503,0.0,True,True,True,True,True
GOAL_RANGE_1H,111960,0.9796307403824703,0.01545868897818329,0.5245003623808164,0.5268563397163566,0.5241422407646978,0.0023559773355401603,-0.003776898369928739,-0.0009942911838517357,0.001,True,True,True,True,True
HALF_RESULT,44784,1.0247432883564538,0.01630279127954404,0.6147377452817737,0.6157640529355021,0.6146673583914576,0.0010263076537283533,-0.0016299891449768921,-0.0004475739620749505,0.0005,True,True,True,True,True
HALF_DC,44784,1.0247432788023758,-0.01630280014253169,0.6147377452817736,0.615764052935502,0.6146673583914575,0.0010263076537283533,-0.0016299891449768967,-0.00044757396207494536,0.0005,True,True,True,True,True
HTFT_NE,37320,1.0887744383654319,-0.12005052160555574,0.4338660574942491,0.4346232982304254,0.433887999209519,0.000757240736176279,-0.001369307346162636,-0.00019978558518541676,0.0025,True,True,True,True,True
HTFT_DC,201528,1.0078803449541687,0.005936932210767494,0.5453546941482601,0.5459420738951132,0.5453787385651546,0.0005873797468530784,-0.0010923297612019497,-0.00012796671538806996,0.005,True,True,True,False,False
HALF_GOAL_COMBOS,216456,0.977560005610928,0.025315728907658687,0.5588983228466352,0.5594674432273328,0.5587094926418779,0.0005691203806975631,-0.001064924216432059,-0.00010375641158056801,0.009,True,True,True,False,False
HTFT,67176,1.0064244407101721,0.011453846100692631,0.310326990498885,0.3108122762737432,0.31035081699646183,0.0004852857748581796,-0.000839877606841962,-0.000160646754757588,0.0025,True,True,True,True,True
HTFT_AND_GOALS,29856,1.0394174707852466,0.09461222628702359,0.4128754517969391,0.4131314919054693,0.41287086651990995,0.00025604010853019776,-0.0008103883577203286,0.0002380326525904752,0.1595,True,False,False,False,False
DOUBLE_CHANCE,22392,1.0228402520824171,-0.015034420398781698,0.5977237752878861,0.5978161803627655,0.5978159597496031,9.240507487939809e-05,-0.0002338874857243273,3.6246078688089185e-05,0.0855,True,False,False,False,False
RESULT,22392,1.0228402313914025,0.015034383504896474,0.5977237752878861,0.5978161803627655,0.5978159597496031,9.240507487939809e-05,-0.0002338874857243386,3.624607868808136e-05,0.0855,True,False,False,False,False
MARGIN,59712,1.0313747662162753,0.02987977593719184,0.3659773678529422,0.366058280474967,0.3660583469450267,8.091262202480909e-05,-0.0001601769887031819,-3.3140743400962804e-06,0.023,True,True,True,False,False
RESULT_AND_GOALS,74640,1.0689987326527948,0.07941361260907481,0.44238766890772757,0.4424266485386529,0.44242679794976003,3.897963092530654e-05,-0.00011402686388435626,3.536373846925184e-05,0.1455,True,False,False,False,False
WIN_TO_NIL,14928,1.1501307174783744,0.16292306001823542,0.47122900518564964,0.4712517039253219,0.47125181749922834,2.2698739672255552e-05,-0.00018846244175058967,0.00015264883951731043,0.38,False,False,False,False,False
GOAL_RANGE_FT,306024,1.0049605922395513,0.005134951338259145,0.5455689376842077,0.5455890108766437,0.545589135030853,2.0073192436020904e-05,-9.837359277318602e-05,5.659534947163493e-05,0.2965,True,False,False,False,False
WIN_BOTH_HALVES,44784,1.0376426897649287,0.14788544112505425,0.2460290456380559,0.24595823080819143,0.24597662732420486,-7.081482986445731e-05,-0.00010999709842457178,0.00025287045435330117,0.771,True,False,False,False,False
NO_BET,29306,1.0809658077062265,-4.824490358596416e-09,0.6297419049348918,0.6296233838603092,0.629610004355978,-0.0001185210745825449,-9.646704033230546e-05,0.00033691831179760256,0.8625,True,False,False,False,False
