date,league,season,home,away,fthg,ftag,market,selection,soft_book,soft_source,soft_odds,fair_odds,fair_close,stake,pnl,clv,won
2017-09-30,bundesliga_1,2017-2018,Augsburg,Dortmund,1.0,2.0,1X2,home,b365,,7.5,7.117877035639358,5.804017532391766,1.0,-1.0,0.2922083639725568,0.0
2018-01-01,league_one_t3,2017-2018,AFC Wimbledon,Southend,2.0,0.0,1X2,home,b365,,2.45,2.3669901890248064,2.593628904928361,1.0,1.4500000000000002,-0.05537758491796574,1.0
2018-02-23,ligue_2_t2,2017-2018,Niort,Nimes,1.0,4.0,1X2,home,b365,,4.5,4.341266135240454,4.711398600000374,1.0,-1.0,-0.04486960623547265,0.0
2018-03-02,bundesliga_2,2017-2018,Kaiserslautern,Union Berlin,4.0,3.0,1X2,home,b365,,3.39,3.2729645723580676,3.1316802146888403,1.0,2.39,0.08248600355155555,1.0
2018-03-18,bundesliga_1,2017-2018,FC Koln,Leverkusen,2.0,0.0,1X2,home,b365,,5.0,4.723220612030245,5.1579891866275185,1.0,4.0,-0.03062999570396885,1.0
2018-04-13,ligue_2_t2,2017-2018,Auxerre,Clermont,1.0,2.0,1X2,home,b365,,3.2,3.0505437244730835,3.062800609097346,1.0,-1.0,0.04479540408054472,0.0
2018-04-14,league_one_t3,2017-2018,Oldham,Gillingham,1.0,1.0,1X2,home,b365,,1.8,1.7380414717935297,1.9792629811606466,1.0,-1.0,-0.09057057241353861,0.0
2018-04-28,ligue_2_t2,2017-2018,Clermont,Nimes,1.0,1.0,1X2,home,b365,,3.29,3.1200974625640168,2.4823000507899358,1.0,-1.0,0.32538368959587793,0.0
2018-04-28,league_one_t3,2017-2018,Blackpool,Shrewsbury,1.0,1.0,1X2,home,b365,,2.14,2.0615998895158407,2.1755161956470457,1.0,-1.0,-0.016325410823467723,0.0
2018-09-01,league_one_t3,2018-2019,Shrewsbury,Bristol Rvs,1.0,1.0,1X2,home,b365,,2.6,2.470844653829054,2.6850609590069654,1.0,-1.0,-0.03167933998728434,0.0
2018-09-01,league_one_t3,2018-2019,Accrington,Scunthorpe,1.0,1.0,1X2,home,b365,,2.37,2.235601911915253,2.722497900272831,1.0,-1.0,-0.12947591263064184,0.0
2018-09-29,league_one_t3,2018-2019,Wycombe,Southend,2.0,3.0,1X2,home,b365,,3.2,3.072729602572195,3.064028460088785,1.0,-1.0,0.04437672224078337,0.0
2019-01-25,ligue_2_t2,2018-2019,Nancy,Auxerre,1.0,0.0,1X2,home,b365,,4.33,4.1442175237612435,4.333239900437349,1.0,3.33,-0.0007476854528691845,1.0
2019-02-09,league_one_t3,2018-2019,Plymouth,Portsmouth,1.0,1.0,1X2,home,b365,,3.8,3.520286799140301,3.418449511779601,1.0,-1.0,0.11161507195166043,0.0
2019-02-15,bundesliga_1,2018-2019,Augsburg,Bayern Munich,2.0,3.0,1X2,home,b365,,15.0,14.187804700953741,15.936899254038911,1.0,-1.0,-0.058788051496370675,0.0
2019-03-15,ligue_2_t2,2018-2019,Beziers,Auxerre,1.0,0.0,1X2,home,b365,,4.75,4.497886502286159,4.551554654935534,1.0,3.75,0.043599464382852116,1.0
2019-03-16,league_one_t3,2018-2019,Bristol Rvs,Charlton,0.0,0.0,1X2,home,b365,,2.9,2.78148130070148,2.956496111331381,1.0,-1.0,-0.019109144475058848,0.0
2019-04-19,league_one_t3,2018-2019,Walsall,Southend,1.0,1.0,1X2,home,b365,,2.3,2.207297663705584,2.1496872746129445,1.0,-1.0,0.06992306609533205,0.0
2019-05-18,bundesliga_1,2018-2019,Hertha,Leverkusen,1.0,5.0,1X2,home,b365,,7.0,6.3062626610339025,6.497562522215293,1.0,-1.0,0.07732707089264079,0.0
2019-08-20,league_one_t3,2019-2020,Southend,Peterboro,0.0,2.0,1X2,home,b365,,3.8,3.4694734036070782,3.5328205679172933,1.0,-1.0,0.07562779567947797,0.0
2019-08-31,bundesliga_1,2019-2020,Union Berlin,Dortmund,3.0,1.0,1X2,home,b365,,10.0,9.53002539713652,8.536196950809062,1.0,9.0,0.17148187391016068,1.0
2019-10-12,league_one_t3,2019-2020,Southend,AFC Wimbledon,1.0,4.0,1X2,home,b365,,2.87,2.7455155228357415,2.8546949042049667,1.0,-1.0,0.005361377067822248,0.0
2019-10-19,league_one_t3,2019-2020,Gillingham,Peterboro,1.0,2.0,1X2,home,b365,,4.0,3.862020956911539,3.5938245126415977,1.0,-1.0,0.1130204009488065,0.0
2019-11-02,league_one_t3,2019-2020,AFC Wimbledon,Lincoln,1.0,1.0,1X2,home,b365,,3.4,3.2048717267613176,3.0991344879387115,1.0,-1.0,0.0970804956132767,0.0
2019-11-03,bundesliga_2,2019-2020,Wehen,Hamburg,1.0,1.0,1X2,home,b365,,5.75,5.225681196983382,6.5177064540236085,1.0,-1.0,-0.11778782297715729,0.0
2019-11-09,bundesliga_2,2019-2020,Osnabruck,Stuttgart,1.0,0.0,1X2,home,b365,,4.5,4.236063517901784,4.535756517304335,1.0,3.5,-0.00788325324957817,1.0
2019-11-30,bundesliga_2,2019-2020,Dresden,Holstein Kiel,1.0,2.0,1X2,home,b365,,3.6,3.446684687663722,3.3975496227435174,1.0,-1.0,0.05958717303237049,0.0
2019-12-26,league_one_t3,2019-2020,Rochdale,Fleetwood Town,2.0,3.0,1X2,home,b365,,5.0,4.764477734095718,4.7684612499972845,1.0,-1.0,0.04855628217652974,0.0
2019-12-29,league_one_t3,2019-2020,Rotherham,Peterboro,4.0,0.0,1X2,home,b365,,2.37,2.287211334527246,2.0964460090050765,1.0,1.37,0.1304846343859558,1.0
2020-01-19,bundesliga_1,2019-2020,Hertha,Bayern Munich,0.0,4.0,1X2,home,b365,,10.0,9.37960304742896,11.744107576117607,1.0,-1.0,-0.14850916213202614,0.0
2020-01-29,league_one_t3,2019-2020,Tranmere,Sunderland,0.0,1.0,1X2,home,b365,,5.5,5.067618982070288,5.5318996336799735,1.0,-1.0,-0.005766488149162807,0.0
2020-02-14,ligue_2_t2,2019-2020,Orleans,Ajaccio,0.0,3.0,1X2,home,b365,,3.6,3.4630288213574576,3.0667957272477175,1.0,-1.0,0.17386364145968214,0.0
2020-02-22,league_one_t3,2019-2020,Southend,Burton,2.0,3.0,1X2,home,b365,,4.6,4.42969584764539,4.465524106321221,1.0,-1.0,0.030114246497610297,0.0
2020-12-12,ligue_2_t2,2020-2021,Chateauroux,Toulouse,0.0,3.0,1X2,home,b365,,3.8,3.643992013390018,4.238443254382261,1.0,-1.0,-0.10344440825742829,0.0
2020-12-22,ligue_2_t2,2020-2021,Chateauroux,Clermont,0.0,1.0,1X2,home,b365,,6.5,6.215449951783906,6.889110163998457,1.0,-1.0,-0.056481919251617385,0.0
2021-01-24,bundesliga_1,2020-2021,Schalke 04,Bayern Munich,0.0,4.0,1X2,home,b365,,16.0,15.10751698028397,16.96321036629844,1.0,-1.0,-0.05678231569963277,0.0
2021-04-10,ligue_2_t2,2020-2021,Pau FC,Clermont,2.0,1.0,1X2,home,b365,,5.5,5.3136759281631,6.40976325286152,1.0,4.5,-0.141933986790444,1.0
2021-05-01,ligue_2_t2,2020-2021,Caen,Auxerre,0.0,0.0,1X2,home,b365,,4.2,4.000776814914136,3.342216089186036,1.0,-1.0,0.25665124214720336,0.0
2021-05-03,ligue_2_t2,2020-2021,Grenoble,Clermont,1.0,2.0,1X2,home,b365,,4.0,3.5665688837254588,5.215040165032551,1.0,-1.0,-0.2329876907141648,0.0
2021-12-04,bundesliga_2,2021-2022,Hansa Rostock,Ingolstadt,1.0,1.0,1X2,home,b365,,1.83,1.5109965843755513,1.626974046629826,1.0,-1.0,0.12478745668422286,0.0
2022-03-12,bundesliga_2,2021-2022,Paderborn,Fortuna Dusseldorf,1.0,1.0,1X2,home,b365,,2.1,1.9456562796675587,2.130364041417201,1.0,-1.0,-0.014252982507628853,0.0
2022-05-14,ligue_2_t2,2021-2022,Auxerre,Amiens,2.0,1.0,1X2,home,b365,,1.44,1.3897345804515253,1.3809654303081575,1.0,0.43999999999999995,0.04274876720025422,1.0
2023-03-04,bundesliga_1,2022-2023,Stuttgart,Bayern Munich,1.0,2.0,1X2,home,b365,,7.0,6.707520504049677,7.111627028357364,1.0,-1.0,-0.01569641207451611,0.0
2023-03-19,bundesliga_1,2022-2023,Leverkusen,Bayern Munich,2.0,1.0,1X2,home,b365,,5.25,4.982134159290888,4.61196455710767,1.0,4.25,0.13834352692694263,1.0
2023-04-10,league_one_t3,2022-2023,Cheltenham,Ipswich,1.0,1.0,1X2,home,b365,,7.5,7.188477810252589,10.288464491171545,1.0,-1.0,-0.271028246592512,0.0
2023-04-22,ligue_2_t2,2022-2023,Niort,Caen,1.0,2.0,1X2,home,b365,,5.25,4.968131658012412,4.061731651908526,1.0,-1.0,0.29255215507236443,0.0
2017-08-05,league_one_t3,2017-2018,Oldham,Oxford,0.0,2.0,1X2,draw,b365,,3.4,3.241566666215972,3.339994509623995,1.0,-1.0,0.01796574521398253,0.0
2017-08-12,league_one_t3,2017-2018,Blackpool,Milton Keynes Dons,1.0,0.0,1X2,draw,b365,,3.6,3.455534480134581,3.401728331737819,1.0,-1.0,0.058285568077945715,0.0
2017-09-09,league_one_t3,2017-2018,Rochdale,Blackburn,0.0,3.0,1X2,draw,b365,,3.5,3.378731372258472,3.3198518412230222,1.0,-1.0,0.05426391519647211,0.0
2017-11-11,league_one_t3,2017-2018,Milton Keynes Dons,Fleetwood Town,1.0,0.0,1X2,draw,b365,,3.6,3.467969418950104,3.4351284038755656,1.0,-1.0,0.04799575932545164,0.0
2018-02-24,league_one_t3,2017-2018,Charlton,Shrewsbury,0.0,2.0,1X2,draw,b365,,3.39,3.2742456158552495,3.3070059767386435,1.0,-1.0,0.025096423727424044,0.0
2018-02-24,bundesliga_2,2017-2018,Union Berlin,Sandhausen,2.0,1.0,1X2,draw,b365,,3.75,3.6059518633118732,3.9318295145809214,1.0,-1.0,-0.046245523593182014,0.0
2018-04-21,league_one_t3,2017-2018,Portsmouth,Charlton,0.0,1.0,1X2,draw,b365,,3.6,3.4584905850009053,3.3784642364560185,1.0,-1.0,0.06557291953943278,0.0
2018-04-21,league_one_t3,2017-2018,Scunthorpe,Walsall,1.0,0.0,1X2,draw,b365,,4.2,3.9792372195356016,4.357294624319044,1.0,-1.0,-0.03609914818271576,0.0
2018-05-11,ligue_2_t2,2017-2018,Nancy,Orleans,3.0,0.0,1X2,draw,b365,,3.6,3.454075790589329,3.3727596618663145,1.0,-1.0,0.0673751944744092,0.0
2018-08-03,ligue_2_t2,2018-2019,Metz,Orleans,5.0,1.0,1X2,draw,b365,,3.8,3.6450475355037395,3.6226552767374938,1.0,-1.0,0.04895434694029732,0.0
2018-08-18,league_one_t3,2018-2019,Shrewsbury,Blackpool,0.0,0.0,1X2,draw,b365,,3.4,3.2231507176588976,3.215901611887373,1.0,2.4,0.057246275020392146,1.0
2018-08-18,league_one_t3,2018-2019,Accrington,Charlton,1.0,1.0,1X2,draw,b365,,3.5,3.3269795373299598,3.556427437141049,1.0,2.5,-0.01586632600787996,1.0
2018-08-18,league_one_t3,2018-2019,Burton,Doncaster,1.0,0.0,1X2,draw,b365,,3.6,3.314843134139541,3.3958793043191857,1.0,-1.0,0.06010834820342259,0.0
2018-09-02,bundesliga_2,2018-2019,Heidenheim,Darmstadt,0.0,1.0,1X2,draw,b365,,3.5,3.360927920032113,3.4808225261577164,1.0,-1.0,0.005509466138583274,0.0
2018-09-21,ligue_2_t2,2018-2019,Ajaccio GFCO,Nancy,0.0,1.0,1X2,draw,b365,,3.2,3.0709357008180427,3.192807447248914,1.0,-1.0,0.002252736148333545,0.0
2018-10-02,league_one_t3,2018-2019,Walsall,Shrewsbury,0.0,0.0,1X2,draw,b365,,3.3,3.1820527761657167,3.1695739046697313,1.0,2.3,0.04114940974814063,1.0
2018-11-24,league_one_t3,2018-2019,AFC Wimbledon,Southend,2.0,1.0,1X2,draw,b365,,3.5,3.261958640159375,3.2847997866069303,1.0,-1.0,0.06551395134354987,0.0
2018-12-02,bundesliga_1,2018-2019,Ein Frankfurt,Wolfsburg,1.0,2.0,1X2,draw,b365,,4.0,3.830914321460734,3.7381010425127164,1.0,-1.0,0.07006203270290356,0.0
2018-12-22,league_one_t3,2018-2019,Luton,Burton,2.0,0.0,1X2,draw,b365,,4.1,3.9053854878596868,4.429466300202553,1.0,-1.0,-0.07438058625425992,0.0
2019-01-12,ligue_2_t2,2018-2019,Grenoble,Le Havre,0.0,0.0,1X2,draw,b365,,3.2,2.9454825518843553,3.0881359131728368,1.0,2.2,0.03622382238747757,1.0
2019-01-26,league_one_t3,2018-2019,Barnsley,Rochdale,2.0,1.0,1X2,draw,b365,,5.5,5.11362199858742,5.688981984291744,1.0,-1.0,-0.03321894581729312,0.0
2019-02-08,ligue_2_t2,2018-2019,Troyes,Paris FC,0.0,1.0,1X2,draw,b365,,2.87,2.7333646173526747,2.7377376940608937,1.0,-1.0,0.04831080283039135,0.0
2019-02-10,bundesliga_2,2018-2019,Darmstadt,Heidenheim,1.0,2.0,1X2,draw,b365,,3.5,3.3808692858415945,3.4266807882031314,1.0,-1.0,0.021396568962385176,0.0
