soft_book,market,dimension,bucket,n_bets,roi,mean_clv
b365,1X2,edge,3.5-5%,155,-0.0038709677419354817,0.01712258649674037
b365,OU2.5,edge,3.5-5%,2,-0.03500000000000003,0.03791831853877414
b365,AH,edge,3.5-5%,4,0.42749999999999994,0.0033663858346975606
average,1X2,edge,3.5-5%,0,,
average,OU2.5,edge,3.5-5%,1,-1.0,0.047149064980711364
average,AH,edge,3.5-5%,0,,
b365,1X2,edge,5-8%,92,0.05500000000000001,0.020230718164057037
b365,OU2.5,edge,5-8%,1,3.0,0.0798888288138151
average,1X2,edge,5-8%,0,,
average,OU2.5,edge,5-8%,2,0.9450000000000001,0.06047132544985201
b365,1X2,edge,8%+,26,-0.5442307692307693,0.030537836650712913
b365,OU2.5,edge,8%+,8,-0.5,0.1345925340249012
b365,AH,edge,8%+,3,-1.0,0.13335570521669005
average,1X2,edge,8%+,1,-1.0,0.21135402221613653
average,OU2.5,edge,8%+,5,-0.19399999999999995,0.13314737342065444
average,AH,edge,8%+,0,,
b365,1X2,odds,<2,3,-0.52,0.025655217156979493
b365,OU2.5,odds,<2,1,0.9299999999999999,0.05658665862003498
b365,AH,odds,<2,3,0.9033333333333333,-0.061187236728776385
b365,1X2,odds,2-4,149,0.03255033557046979,0.018145130543330446
b365,OU2.5,odds,2-4,3,-1.0,0.08164030294429225
b365,AH,odds,2-4,4,-1.0,0.14927359229379739
average,1X2,odds,2-4,0,,
average,OU2.5,odds,2-4,4,-0.02749999999999997,0.06249653751332651
average,AH,odds,2-4,0,,
b365,1X2,odds,4+,121,-0.10727272727272727,0.020897691145284017
b365,OU2.5,odds,4+,7,0.14285714285714285,0.13299402437680877
average,1X2,odds,4+,1,-1.0,0.21135402221613653
average,OU2.5,odds,4+,4,0.007500000000000062,0.14596060823259538
b365,1X2,threshold,1.0,273,-0.03549450549450548,0.019447658355335313
b365,OU2.5,threshold,1.0,11,-0.0972727272727273,0.11204233982641573
b365,AH,threshold,1.0,7,-0.18428571428571436,0.059076094141265766
average,1X2,threshold,1.0,1,-1.0,0.21135402221613653
average,OU2.5,threshold,1.0,8,-0.009999999999999953,0.10422857287296095
average,AH,threshold,1.0,0,,
b365,1X2,threshold,1.035,273,-0.03549450549450548,0.019447658355335313
b365,OU2.5,threshold,1.035,11,-0.0972727272727273,0.11204233982641573
b365,AH,threshold,1.035,7,-0.18428571428571436,0.059076094141265766
average,1X2,threshold,1.035,1,-1.0,0.21135402221613653
average,OU2.5,threshold,1.035,8,-0.009999999999999953,0.10422857287296095
average,AH,threshold,1.035,0,,
b365,1X2,threshold,1.07,42,-0.5547619047619049,0.02886481449901047
b365,OU2.5,threshold,1.07,9,-0.1111111111111111,0.12851434455700275
b365,AH,threshold,1.07,3,-1.0,0.13335570521669005
average,1X2,threshold,1.07,1,-1.0,0.21135402221613653
average,OU2.5,threshold,1.07,5,-0.19399999999999995,0.13314737342065444
average,AH,threshold,1.07,0,,
