league,season,market,n_rows,n_pinnacle,n_b365,share_b365,median_raw_gap_b365,median_demargined_gap_b365,n_average,share_average,median_raw_gap_average,median_demargined_gap_average
bundesliga_1,2017-2018,1X2,306,306,306,100.0,0.010218397163000104,0.006182385833213011,0,0.0,,
bundesliga_1,2017-2018,OU2.5,306,0,0,0.0,,,0,0.0,,
bundesliga_1,2017-2018,AH,306,0,0,0.0,,,0,0.0,,
bundesliga_1,2018-2019,1X2,306,305,305,99.7,0.009217362158538633,0.007305405506197182,0,0.0,,
bundesliga_1,2018-2019,OU2.5,306,0,0,0.0,,,0,0.0,,
bundesliga_1,2018-2019,AH,306,0,0,0.0,,,0,0.0,,
bundesliga_1,2019-2020,1X2,306,306,306,100.0,0.008714294583951315,0.007464237649162667,306,100.0,0.005276887039054601,0.002780842205728551
bundesliga_1,2019-2020,OU2.5,306,306,306,100.0,0.011361914861384603,0.006787171050272239,306,100.0,0.011212030701277992,0.004566963350519565
bundesliga_1,2019-2020,AH,306,306,306,100.0,0.002844464671748703,0.0028209233534747524,306,100.0,0.005843852267414684,0.0028271488248736154
bundesliga_1,2020-2021,1X2,306,306,306,100.0,0.010037396943764987,0.007473309277132328,306,100.0,0.0071433458795664845,0.0026183619468940766
bundesliga_1,2020-2021,OU2.5,306,301,301,98.4,0.012175324675324672,0.006612522794074371,301,98.4,0.011523627729397745,0.0036269125817939563
bundesliga_1,2020-2021,AH,306,306,306,100.0,0.002875050313380534,0.002766395896605295,306,100.0,0.008181074447777381,0.003536784808059079
bundesliga_1,2021-2022,1X2,306,306,306,100.0,0.009239839172537553,0.006885976513727174,306,100.0,0.006126774590592313,0.0032110693531694767
bundesliga_1,2021-2022,OU2.5,306,301,301,98.4,0.010060362173038184,0.006556774886395167,301,98.4,0.009522600304723294,0.00441843329519484
bundesliga_1,2021-2022,AH,306,306,306,100.0,0.004622887918082408,0.0037617215395394366,306,100.0,0.007173944234540208,0.0029804297449664285
bundesliga_1,2022-2023,1X2,306,306,306,100.0,0.009253553198713585,0.005192997875695882,306,100.0,0.005782477756170745,0.00261195207726464
bundesliga_1,2022-2023,OU2.5,306,292,292,95.4,0.009852863899106667,0.005445110044020263,292,95.4,0.008910008910008926,0.003916592949196496
