target_season,label,team,arrival_season
2019-2020,promoted_in,Blackpool,2017-2018
2019-2020,promoted_in,Doncaster,2017-2018
2019-2020,promoted_in,Plymouth,2017-2018
2019-2020,promoted_in,Portsmouth,2017-2018
2019-2020,relegated_in,Blackburn,2017-2018
2019-2020,relegated_in,Rotherham,2017-2018
2019-2020,relegated_in,Wigan,2017-2018
2020-2021,promoted_in,Accrington,2018-2019
2020-2021,promoted_in,Blackpool,2017-2018
2020-2021,promoted_in,Coventry,2018-2019
2020-2021,promoted_in,Doncaster,2017-2018
2020-2021,promoted_in,Lincoln,2019-2020
2020-2021,promoted_in,Luton,2018-2019
2020-2021,promoted_in,Milton Keynes Dons,2019-2020
2020-2021,promoted_in,Plymouth,2017-2018
2020-2021,promoted_in,Portsmouth,2017-2018
2020-2021,promoted_in,Tranmere,2019-2020
2020-2021,promoted_in,Wycombe,2018-2019
2020-2021,relegated_in,Barnsley,2018-2019
2020-2021,relegated_in,Blackburn,2017-2018
2020-2021,relegated_in,Bolton,2019-2020
2020-2021,relegated_in,Burton,2018-2019
2020-2021,relegated_in,Ipswich,2019-2020
2020-2021,relegated_in,Rotherham,2017-2018
2020-2021,relegated_in,Rotherham,2019-2020
2020-2021,relegated_in,Sunderland,2018-2019
2020-2021,relegated_in,Wigan,2017-2018
2021-2022,promoted_in,Accrington,2018-2019
2021-2022,promoted_in,Blackpool,2017-2018
2021-2022,promoted_in,Coventry,2018-2019
2021-2022,promoted_in,Doncaster,2017-2018
2021-2022,promoted_in,Lincoln,2019-2020
2021-2022,promoted_in,Luton,2018-2019
2021-2022,promoted_in,Milton Keynes Dons,2019-2020
2021-2022,promoted_in,Plymouth,2017-2018
2021-2022,promoted_in,Portsmouth,2017-2018
2021-2022,promoted_in,Tranmere,2019-2020
2021-2022,promoted_in,Wycombe,2018-2019
2021-2022,relegated_in,Barnsley,2018-2019
2021-2022,relegated_in,Blackburn,2017-2018
2021-2022,relegated_in,Bolton,2019-2020
2021-2022,relegated_in,Burton,2018-2019
2021-2022,relegated_in,Ipswich,2019-2020
2021-2022,relegated_in,Rotherham,2017-2018
2021-2022,relegated_in,Rotherham,2019-2020
2021-2022,relegated_in,Sunderland,2018-2019
2021-2022,relegated_in,Wigan,2017-2018
2022-2023,promoted_in,Accrington,2018-2019
2022-2023,promoted_in,Blackpool,2017-2018
2022-2023,promoted_in,Coventry,2018-2019
2022-2023,promoted_in,Crewe,2020-2021
2022-2023,promoted_in,Doncaster,2017-2018
2022-2023,promoted_in,Lincoln,2019-2020
2022-2023,promoted_in,Luton,2018-2019
2022-2023,promoted_in,Milton Keynes Dons,2019-2020
2022-2023,promoted_in,Northampton,2020-2021
2022-2023,promoted_in,Plymouth,2017-2018
2022-2023,promoted_in,Plymouth,2020-2021
2022-2023,promoted_in,Portsmouth,2017-2018
2022-2023,promoted_in,Swindon,2020-2021
2022-2023,promoted_in,Tranmere,2019-2020
2022-2023,promoted_in,Wycombe,2018-2019
2022-2023,relegated_in,Barnsley,2018-2019
2022-2023,relegated_in,Blackburn,2017-2018
2022-2023,relegated_in,Bolton,2019-2020
2022-2023,relegated_in,Burton,2018-2019
2022-2023,relegated_in,Charlton,2020-2021
2022-2023,relegated_in,Hull,2020-2021
2022-2023,relegated_in,Ipswich,2019-2020
2022-2023,relegated_in,Rotherham,2017-2018
2022-2023,relegated_in,Rotherham,2019-2020
2022-2023,relegated_in,Sunderland,2018-2019
2022-2023,relegated_in,Wigan,2017-2018
2022-2023,relegated_in,Wigan,2020-2021
