run_id,timestamp,git_hash,league,market,selection,rule_config,split,n_predictions,log_loss,brier,benchmark_name,benchmark_log_loss,n_bets,roi,mean_clv,superseded_by,notes
c689c8aa94ce,2026-09-23T17:44:03+00:00,aa1a117f636031b4f2f537f38b4debd5a4426d31,league_one_t3,1X2,home/draw/away,dixon_coles xi=0.001 (UNTUNED),discovery:2021-2022,380,1.073753,0.649051,market_AvgC,0.986082,,,,,correctness check only; excluded=172; model
b8b9661d8c87,2026-09-23T17:44:03+00:00,aa1a117f636031b4f2f537f38b4debd5a4426d31,league_one_t3,1X2,home/draw/away,training base rates,discovery:2021-2022,380,1.070221,0.647338,market_AvgC,0.986082,,,,,correctness check only; excluded=172; naive_base_rates
6a51928a80a0,2026-09-23T17:44:03+00:00,aa1a117f636031b4f2f537f38b4debd5a4426d31,league_one_t3,1X2,home/draw/away,de-margined closing odds (AvgC),discovery:2021-2022,380,0.986082,0.58579,market_AvgC,0.986082,,,,,benchmark; mean margin removed=0.0620
note:9b85bcc83bf3,2026-09-23T17:51:44+00:00,67224bad1fa8c17305f55b467498f41aed74bbb6,,,,,,,,,,,,,,,SCHEMA MIGRATION: upgraded ledger to append-only schema; 3 legacy row(s) received generated run_id values. No evaluation data was altered.
note:efb2e210ed9a,2026-09-23T17:51:44+00:00,67224bad1fa8c17305f55b467498f41aed74bbb6,,,,,,,,,,,,,,,"PROCESS NOTE: research/ledger.csv was reset to header-only twice in earlier sessions to discard duplicate rows from exploratory runs. Those resets DELETED rows, which is no longer permitted. From now on duplicates are marked with ledger.supersede() and remain in the file."
557ac66fa0ec,2026-09-23T18:01:55+00:00,67224bad1fa8c17305f55b467498f41aed74bbb6,league_one_t3,1X2,home/draw/away,stageA xi=0.0005 covid=incl nw=league_avg,discovery:tune:2017-2018,552,1.060912,0.640582,,,,,,,walk-forward; OU2.5 log loss=0.716966
1111c8b1ac75,2026-09-23T18:01:55+00:00,67224bad1fa8c17305f55b467498f41aed74bbb6,league_one_t3,1X2,home/draw/away,stageA xi=0.0005 covid=incl nw=league_avg,discovery:tune:2018-2019,552,1.054225,0.637584,,,,,,,walk-forward; OU2.5 log loss=0.713272
246a35f4c446,2026-09-23T18:01:55+00:00,67224bad1fa8c17305f55b467498f41aed74bbb6,league_one_t3,1X2,home/draw/away,stageA xi=0.0005 covid=incl nw=league_avg,discovery:tune:2020-2021,552,1.067813,0.64523,,,,,,,walk-forward; OU2.5 log loss=0.684078
bba43b1c15e9,2026-09-23T18:01:55+00:00,67224bad1fa8c17305f55b467498f41aed74bbb6,league_one_t3,1X2,home/draw/away,stageA xi=0.0005 covid=incl nw=league_avg,discovery:report_only:2019-2020,400,1.053195,0.634667,,,,,,,walk-forward; OU2.5 log loss=0.690723
44511c8af80a,2026-09-23T18:01:55+00:00,67224bad1fa8c17305f55b467498f41aed74bbb6,league_one_t3,1X2,home/draw/away,stageA xi=0.0005 covid=incl nw=league_avg,discovery:validation:2021-2022,552,1.03961,0.62406,,,,,,,walk-forward; OU2.5 log loss=0.702120
084d719cecdb,2026-09-23T18:01:55+00:00,67224bad1fa8c17305f55b467498f41aed74bbb6,league_one_t3,1X2,home/draw/away,stageA xi=0.0005 covid=incl nw=league_avg,discovery:validation:2022-2023,552,1.020043,0.61204,,,,,,,walk-forward; OU2.5 log loss=0.711469
a0d6dd647ee8,2026-09-23T18:03:21+00:00,67224bad1fa8c17305f55b467498f41aed74bbb6,league_one_t3,1X2,home/draw/away,stageA xi=0.001 covid=incl nw=league_avg,discovery:tune:2017-2018,552,1.06014,0.640045,,,,,,,walk-forward; OU2.5 log loss=0.716970
ec8be67390c7,2026-09-23T18:03:21+00:00,67224bad1fa8c17305f55b467498f41aed74bbb6,league_one_t3,1X2,home/draw/away,stageA xi=0.001 covid=incl nw=league_avg,discovery:tune:2018-2019,552,1.051441,0.635748,,,,,,,walk-forward; OU2.5 log loss=0.713678
34f4f3eaf626,2026-09-23T18:03:21+00:00,67224bad1fa8c17305f55b467498f41aed74bbb6,league_one_t3,1X2,home/draw/away,stageA xi=0.001 covid=incl nw=league_avg,discovery:tune:2020-2021,552,1.062091,0.641177,,,,,,,walk-forward; OU2.5 log loss=0.682575
685b70bbd65a,2026-09-23T18:03:21+00:00,67224bad1fa8c17305f55b467498f41aed74bbb6,league_one_t3,1X2,home/draw/away,stageA xi=0.001 covid=incl nw=league_avg,discovery:report_only:2019-2020,400,1.048051,0.63082,,,,,,,walk-forward; OU2.5 log loss=0.689851
d653fb268868,2026-09-23T18:03:21+00:00,67224bad1fa8c17305f55b467498f41aed74bbb6,league_one_t3,1X2,home/draw/away,stageA xi=0.001 covid=incl nw=league_avg,discovery:validation:2021-2022,552,1.040147,0.624264,,,,,,,walk-forward; OU2.5 log loss=0.702864
