date,league,home,away,capture_time_local,market,code,odds
2026-10-10,bundesliga_1,Hoffenheim,Hamburger SV,2026-09-24T12:00,1X2,1,2.10
2026-10-10,bundesliga_1,Hoffenheim,Hamburger SV,2026-09-24T12:00,1X2,X,3.40
2026-10-10,bundesliga_1,Hoffenheim,Hamburger SV,2026-09-24T12:00,1X2,2,3.60
2026-10-10,bundesliga_1,Hoffenheim,Hamburger SV,2026-09-24T12:00,DC,1X,1.30
2026-10-10,bundesliga_1,Hoffenheim,Hamburger SV,2026-09-24T12:00,DC,12,1.35
2026-10-10,bundesliga_1,Hoffenheim,Hamburger SV,2026-09-24T12:00,DC,X2,1.85
2026-10-10,bundesliga_1,Hoffenheim,Hamburger SV,2026-09-24T12:00,XNB,XNB FT 1,1.60
2026-10-10,bundesliga_1,Hoffenheim,Hamburger SV,2026-09-24T12:00,XNB,XNB FT 2,2.60
2026-10-10,bundesliga_1,Hoffenheim,Hamburger SV,2026-09-24T12:00,goals,0-1,4.20
2026-10-10,bundesliga_1,Hoffenheim,Hamburger SV,2026-09-24T12:00,goals,1-2,3.10
2026-10-10,bundesliga_1,Hoffenheim,Hamburger SV,2026-09-24T12:00,goals,1-3,2.20
2026-10-10,bundesliga_1,Hoffenheim,Hamburger SV,2026-09-24T12:00,goals,2-3,3.40
2026-10-10,bundesliga_1,Hoffenheim,Hamburger SV,2026-09-24T12:00,goals,2-4,2.60
2026-10-10,bundesliga_1,Hoffenheim,Hamburger SV,2026-09-24T12:00,goals,3+,2.05
2026-10-10,bundesliga_1,Hoffenheim,Hamburger SV,2026-09-24T12:00,goals,4+,3.60
